strategy,annual_return,annual_volatility,sharpe_ratio,max_drawdown,win_rate,total_months
static_original_static,0.09181091639493721,0.14338678740608093,0.6403024857159438,-0.476444409264193,0.6415094339622641,318
static_optimized_static,0.09201130404539448,0.13870656574368195,0.6633521892209747,-0.46578885736568343,0.6383647798742138,318
static_equal_weight,0.09160534890520244,0.14173505193201388,0.6463140038862287,-0.4750601658683295,0.6477987421383647,318
basic_dynamic,0.09143515210860897,0.13866406273940352,0.6594004986024853,-0.46230165394051553,0.6383647798742138,318
enhanced_dynamic,0.0953339197844767,0.13851819197711512,0.6882411503048423,-0.459739811984993,0.6383647798742138,318
